sample_id,split,feature_path,num_frames,fps,pose_rate,face_rate,left_hand_rate,right_hand_rate,is_usable,file_size_bytes,created_at_utc
1782bea75c7d-1,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-1.npz,45,30.0,0.0,0.0,0.0,0.0,False,2061,2026-09-17T16:17:16Z
1782bea75c7d-2,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-2.npz,45,30.0,0.0,0.0,0.0,0.0,False,2060,2026-09-17T16:17:16Z
1782bea75c7d-4,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-4.npz,45,30.0,0.0,0.0,0.0,0.0,False,2061,2026-09-17T16:17:16Z
1782bea75c7d-5,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-5.npz,45,30.0,0.0,0.0,0.0,0.0,False,2060,2026-09-17T16:17:16Z
1782bea75c7d-6,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-6.npz,45,30.0,0.0,0.0,0.0,0.0,False,2059,2026-09-17T16:17:16Z
1782bea75c7d-7,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-7.npz,45,30.0,0.0,0.0,0.0,0.0,False,2060,2026-09-17T16:17:16Z
1782bea75c7d-8,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-8.npz,45,30.0,0.0,0.0,0.0,0.0,False,2060,2026-09-17T16:17:16Z
1782bea75c7d-10,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-10.npz,45,30.0,0.0,0.0,0.0,0.0,False,2061,2026-09-17T16:17:17Z
1782bea75c7d-11,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-11.npz,45,30.0,0.0,0.0,0.0,0.0,False,2062,2026-09-17T16:17:17Z
1782bea75c7d-12,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-12.npz,45,30.0,0.0,0.0,0.0,0.0,False,2062,2026-09-17T16:17:17Z
1782bea75c7d-14,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-14.npz,45,30.0,0.0,0.0,0.0,0.0,False,2062,2026-09-17T16:17:17Z
1782bea75c7d-15,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-15.npz,45,30.0,0.0,0.0,0.0,0.0,False,2062,2026-09-17T16:17:17Z
1782bea75c7d-16,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-16.npz,45,30.0,0.0,0.0,0.0,0.0,False,2060,2026-09-17T16:17:17Z
1782bea75c7d-17,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-17.npz,45,30.0,0.0,0.0,0.0,0.0,False,2059,2026-09-17T16:17:17Z
1782bea75c7d-21,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-21.npz,45,30.0,0.0,0.0,0.0,0.0,False,2060,2026-09-17T16:17:17Z
1782bea75c7d-23,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-23.npz,45,30.0,0.0,0.0,0.0,0.0,False,2060,2026-09-17T16:17:17Z
1782bea75c7d-24,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-24.npz,45,30.0,0.0,0.0,0.0,0.0,False,2060,2026-09-17T16:17:17Z
1782bea75c7d-27,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-27.npz,45,30.0,0.0,0.0,0.0,0.0,False,2060,2026-09-17T16:17:17Z
1782bea75c7d-28,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-28.npz,45,30.0,0.0,0.0,0.0,0.0,False,2060,2026-09-17T16:17:17Z
1782bea75c7d-29,train,G:\SingLang\SIGNOVA\data\features\landmarks\train\1782bea75c7d-29.npz,45,30.0,0.0,0.0,0.0,0.0,False,2060,2026-09-17T16:17:17Z
