sample_id,video_reference,local_status,annotation_valid,char_length,word_count,error_reason
1782bea75c7d-1,1782bea75c7d-1,REMOTE_ONLY,True,8,2,None
1782bea75c7d-2,1782bea75c7d-2,REMOTE_ONLY,True,16,3,None
1782bea75c7d-3,1782bea75c7d-3,REMOTE_ONLY,True,52,11,None
1782bea75c7d-4,1782bea75c7d-4,REMOTE_ONLY,True,23,4,None
1782bea75c7d-5,1782bea75c7d-5,REMOTE_ONLY,True,33,8,None
1782bea75c7d-6,1782bea75c7d-6,REMOTE_ONLY,True,23,6,None
1782bea75c7d-7,1782bea75c7d-7,REMOTE_ONLY,True,49,9,None
1782bea75c7d-8,1782bea75c7d-8,REMOTE_ONLY,True,48,11,None
1782bea75c7d-9,1782bea75c7d-9,REMOTE_ONLY,True,70,14,None
1782bea75c7d-10,1782bea75c7d-10,REMOTE_ONLY,True,68,13,None
1782bea75c7d-11,1782bea75c7d-11,REMOTE_ONLY,True,47,8,None
1782bea75c7d-12,1782bea75c7d-12,REMOTE_ONLY,True,17,3,None
1782bea75c7d-13,1782bea75c7d-13,REMOTE_ONLY,True,26,5,None
1782bea75c7d-14,1782bea75c7d-14,REMOTE_ONLY,True,20,4,None
1782bea75c7d-15,1782bea75c7d-15,REMOTE_ONLY,True,54,10,None
1782bea75c7d-16,1782bea75c7d-16,REMOTE_ONLY,True,26,6,None
1782bea75c7d-17,1782bea75c7d-17,REMOTE_ONLY,True,43,8,None
1782bea75c7d-18,1782bea75c7d-18,REMOTE_ONLY,True,15,3,None
1782bea75c7d-19,1782bea75c7d-19,REMOTE_ONLY,True,4,1,None
1782bea75c7d-20,1782bea75c7d-20,REMOTE_ONLY,True,6,1,None
1782bea75c7d-21,1782bea75c7d-21,REMOTE_ONLY,True,5,1,None
1782bea75c7d-22,1782bea75c7d-22,REMOTE_ONLY,True,5,1,None
1782bea75c7d-23,1782bea75c7d-23,REMOTE_ONLY,True,15,3,None
1782bea75c7d-24,1782bea75c7d-24,REMOTE_ONLY,True,15,3,None
1782bea75c7d-25,1782bea75c7d-25,REMOTE_ONLY,True,29,6,None
1782bea75c7d-26,1782bea75c7d-26,REMOTE_ONLY,True,26,5,None
1782bea75c7d-27,1782bea75c7d-27,REMOTE_ONLY,True,37,7,None
1782bea75c7d-28,1782bea75c7d-28,REMOTE_ONLY,True,9,2,None
1782bea75c7d-29,1782bea75c7d-29,REMOTE_ONLY,True,54,10,None
1782bea75c7d-30,1782bea75c7d-30,REMOTE_ONLY,True,23,3,None
1782bea75c7d-31,1782bea75c7d-31,REMOTE_ONLY,True,13,2,None
1782bea75c7d-32,1782bea75c7d-32,REMOTE_ONLY,True,14,2,None
1782bea75c7d-33,1782bea75c7d-33,REMOTE_ONLY,True,7,1,None
1782bea75c7d-34,1782bea75c7d-34,REMOTE_ONLY,True,12,2,None
1782bea75c7d-35,1782bea75c7d-35,REMOTE_ONLY,True,12,2,None
1782bea75c7d-36,1782bea75c7d-36,REMOTE_ONLY,True,15,3,None
1782bea75c7d-37,1782bea75c7d-37,REMOTE_ONLY,True,10,2,None
1782bea75c7d-38,1782bea75c7d-38,REMOTE_ONLY,True,69,12,None
1782bea75c7d-39,1782bea75c7d-39,REMOTE_ONLY,True,97,22,None
1782bea75c7d-40,1782bea75c7d-40,REMOTE_ONLY,True,43,10,None
1782bea75c7d-41,1782bea75c7d-41,REMOTE_ONLY,True,27,5,None
1782bea75c7d-42,1782bea75c7d-42,REMOTE_ONLY,True,119,23,None
1782bea75c7d-43,1782bea75c7d-43,REMOTE_ONLY,True,42,7,None
1782bea75c7d-45,1782bea75c7d-45,REMOTE_ONLY,True,47,9,None
1782bea75c7d-46,1782bea75c7d-46,REMOTE_ONLY,True,63,11,None
1782bea75c7d-47,1782bea75c7d-47,REMOTE_ONLY,True,25,5,None
1782bea75c7d-48,1782bea75c7d-48,REMOTE_ONLY,True,52,10,None
1782bea75c7d-50,1782bea75c7d-50,REMOTE_ONLY,True,36,7,None
ee235596b76f-1,ee235596b76f-1,REMOTE_ONLY,True,8,2,None
ee235596b76f-2,ee235596b76f-2,REMOTE_ONLY,True,13,2,None
ee235596b76f-3,ee235596b76f-3,REMOTE_ONLY,True,25,5,None
ee235596b76f-4,ee235596b76f-4,REMOTE_ONLY,True,57,11,None
ee235596b76f-5,ee235596b76f-5,REMOTE_ONLY,True,18,4,None
ee235596b76f-6,ee235596b76f-6,REMOTE_ONLY,True,37,8,None
ee235596b76f-7,ee235596b76f-7,REMOTE_ONLY,True,38,8,None
ee235596b76f-8,ee235596b76f-8,REMOTE_ONLY,True,67,15,None
ee235596b76f-9,ee235596b76f-9,REMOTE_ONLY,True,24,5,None
ee235596b76f-10,ee235596b76f-10,REMOTE_ONLY,True,29,6,None
ee235596b76f-11,ee235596b76f-11,REMOTE_ONLY,True,34,7,None
ee235596b76f-12,ee235596b76f-12,REMOTE_ONLY,True,25,6,None
ee235596b76f-13,ee235596b76f-13,REMOTE_ONLY,True,68,13,None
ee235596b76f-14,ee235596b76f-14,REMOTE_ONLY,True,36,6,None
ee235596b76f-15,ee235596b76f-15,REMOTE_ONLY,True,40,8,None
ee235596b76f-16,ee235596b76f-16,REMOTE_ONLY,True,66,11,None
ee235596b76f-17,ee235596b76f-17,REMOTE_ONLY,True,60,11,None
ee235596b76f-18,ee235596b76f-18,REMOTE_ONLY,True,45,9,None
ee235596b76f-19,ee235596b76f-19,REMOTE_ONLY,True,26,6,None
ee235596b76f-20,ee235596b76f-20,REMOTE_ONLY,True,55,10,None
ee235596b76f-21,ee235596b76f-21,REMOTE_ONLY,True,42,4,None
ee235596b76f-22,ee235596b76f-22,REMOTE_ONLY,True,58,13,None
ee235596b76f-23,ee235596b76f-23,REMOTE_ONLY,True,8,2,None
ee235596b76f-24,ee235596b76f-24,REMOTE_ONLY,True,83,17,None
ee235596b76f-26,ee235596b76f-26,REMOTE_ONLY,True,34,7,None
ee235596b76f-27,ee235596b76f-27,REMOTE_ONLY,True,49,10,None
ee235596b76f-28,ee235596b76f-28,REMOTE_ONLY,True,71,15,None
ee235596b76f-31,ee235596b76f-31,REMOTE_ONLY,True,35,7,None
ee235596b76f-32,ee235596b76f-32,REMOTE_ONLY,True,27,5,None
ee235596b76f-34,ee235596b76f-34,REMOTE_ONLY,True,11,2,None
ee235596b76f-35,ee235596b76f-35,REMOTE_ONLY,True,12,3,None
ee235596b76f-36,ee235596b76f-36,REMOTE_ONLY,True,18,2,None
ee235596b76f-37,ee235596b76f-37,REMOTE_ONLY,True,31,6,None
ee235596b76f-38,ee235596b76f-38,REMOTE_ONLY,True,35,7,None
ee235596b76f-39,ee235596b76f-39,REMOTE_ONLY,True,6,1,None
ee235596b76f-40,ee235596b76f-40,REMOTE_ONLY,True,59,11,None
ee235596b76f-41,ee235596b76f-41,REMOTE_ONLY,True,166,34,None
ee235596b76f-42,ee235596b76f-42,REMOTE_ONLY,True,42,9,None
ee235596b76f-43,ee235596b76f-43,REMOTE_ONLY,True,25,5,None
ee235596b76f-44,ee235596b76f-44,REMOTE_ONLY,True,59,14,None
ee235596b76f-45,ee235596b76f-45,REMOTE_ONLY,True,15,2,None
ee235596b76f-46,ee235596b76f-46,REMOTE_ONLY,True,47,9,None
ee235596b76f-47,ee235596b76f-47,REMOTE_ONLY,True,49,9,None
ee235596b76f-48,ee235596b76f-48,REMOTE_ONLY,True,11,3,None
