sample_id,dataset,split,video_path,annotation_path,features_path,gloss,translation,signer_id,duration_sec,num_frames,fps,metadata
1782bea75c7d-1,ISLTranslate,train,,,,,Page 111,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-1""}"
1782bea75c7d-2,ISLTranslate,train,,,,,Make it shorter.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-2""}"
1782bea75c7d-4,ISLTranslate,train,,,,,Make this line shorter.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-4""}"
1782bea75c7d-5,ISLTranslate,train,,,,,but don't rub out any part of it.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-5""}"
1782bea75c7d-6,ISLTranslate,train,,,,,No one knew what to do.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-6""}"
1782bea75c7d-7,ISLTranslate,train,,,,,Each minister looked at the line and was puzzled.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-7""}"
1782bea75c7d-8,ISLTranslate,train,,,,,No one could think of any way to make it longer.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-8""}"
1782bea75c7d-10,ISLTranslate,train,,,,,"Birbal started smiling. When it was his turn, he went near the line.",1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-10""}"
1782bea75c7d-11,ISLTranslate,train,,,,,Discuss with your partner what Birbal would do.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-11""}"
1782bea75c7d-12,ISLTranslate,train,,,,,Now read further.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-12""}"
1782bea75c7d-14,ISLTranslate,train,,,,,under the first one.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-14""}"
1782bea75c7d-15,ISLTranslate,train,,,,,He didn't touch the first line. Everyone in the court.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-15""}"
1782bea75c7d-16,ISLTranslate,train,,,,,saw what he drew and said.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-16""}"
1782bea75c7d-17,ISLTranslate,train,,,,,"That's true, the first line is shorter now.",1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-17""}"
1782bea75c7d-21,ISLTranslate,train,,,,,Erase,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-21""}"
1782bea75c7d-23,ISLTranslate,train,,,,,Page number 113,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-23""}"
1782bea75c7d-24,ISLTranslate,train,,,,,Reading is fun.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-24""}"
1782bea75c7d-27,ISLTranslate,train,,,,,How did Birbal make the line shorter?,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-27""}"
1782bea75c7d-28,ISLTranslate,train,,,,,Say aloud,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-28""}"
1782bea75c7d-29,ISLTranslate,train,,,,,which letters cannot be heard when we say these words.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-29""}"
1782bea75c7d-31,ISLTranslate,train,,,,,Brighter Dark,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-31""}"
1782bea75c7d-32,ISLTranslate,train,,,,,Darker. Light.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-32""}"
1782bea75c7d-33,ISLTranslate,train,,,,,Lighter,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-33""}"
1782bea75c7d-34,ISLTranslate,train,,,,,Big! Bigger!,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-34""}"
1782bea75c7d-35,ISLTranslate,train,,,,,Fast. Faster,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-35""}"
1782bea75c7d-36,ISLTranslate,train,,,,,Page number 114,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-36""}"
1782bea75c7d-37,ISLTranslate,train,,,,,Team Time!,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-37""}"
1782bea75c7d-38,ISLTranslate,train,,,,,Discuss with your partner and draw pictures to show the following. 1.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-38""}"
1782bea75c7d-39,ISLTranslate,train,,,,,The ball on the left side is bigger than the one on the right. And here you can draw on the left.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-39""}"
1782bea75c7d-40,ISLTranslate,train,,,,,a ball bigger than the ball on the right. 2,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-40""}"
1782bea75c7d-42,ISLTranslate,train,,,,,And now here are two spaces provided to draw Rita and Radha. Here you can draw Rita shorter and Radha bigger than Rita.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-42""}"
1782bea75c7d-43,ISLTranslate,train,,,,,3. Raghu's basket is heavier than Ratan's.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-43""}"
1782bea75c7d-45,ISLTranslate,train,,,,,And now you can draw Raghu and Ratton's basket.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-45""}"
1782bea75c7d-46,ISLTranslate,train,,,,,Make sure that you draw Rughu's basket heavier than Rathan's. 4,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-46""}"
1782bea75c7d-48,ISLTranslate,train,,,,,"Here are two spaces provided to draw, Rajat and Raj.",1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-48""}"
1782bea75c7d-50,ISLTranslate,train,,,,,Try to draw Rajat's taller than Raj.,1782bea75c7d,,,,"{""source"": ""ISLTranslate_v1"", ""raw_uid"": ""1782bea75c7d-50""}"
