sample_id,video_id,source_checksum,selection_seed,annotator_id,reviewer_id,signer_id,session_id,annotation_status,quality_grade,training_eligible
1782bea75c7d-1,1782bea75c7d-1.mp4,0c2d1adcfb4b26de,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-10,1782bea75c7d-10.mp4,0f724a2a6ef85b3c,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-11,1782bea75c7d-11.mp4,6caceb136acd93af,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-12,1782bea75c7d-12.mp4,cc028595945f2218,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-14,1782bea75c7d-14.mp4,baa8ef03b9c12fae,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-15,1782bea75c7d-15.mp4,eac403dc4f9b3694,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-16,1782bea75c7d-16.mp4,ab72f9c6c5a62113,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-17,1782bea75c7d-17.mp4,4b39be5c0521fb52,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-2,1782bea75c7d-2.mp4,4fb0a56106e4ccfe,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-21,1782bea75c7d-21.mp4,1bbcd4f53223bc2e,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-23,1782bea75c7d-23.mp4,a6f3c4a27c9d5811,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-24,1782bea75c7d-24.mp4,5706b5a481afe182,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-27,1782bea75c7d-27.mp4,f875573f3f073a37,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-28,1782bea75c7d-28.mp4,0a77a5aa1f969576,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-29,1782bea75c7d-29.mp4,2af8758104e6e229,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-4,1782bea75c7d-4.mp4,6180ed97e0c13659,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-5,1782bea75c7d-5.mp4,a8b51b1101f43b9b,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-6,1782bea75c7d-6.mp4,af1343d34606a7ed,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-7,1782bea75c7d-7.mp4,6a180da970368aa0,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
1782bea75c7d-8,1782bea75c7d-8.mp4,e974160f0d28789f,42,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNANNOTATED,UNVERIFIED,false
