assignment_id,video_id,video_sha256,annotator_id,session_id,assigned_at,annotation_status,is_double_annotation,annotation_version,reviewer_id,review_status
asgn_42_000_a,1782bea75c7d-1.mp4,0c2d1adcfb4b26de11cced85d85984fd3d3dbc64bbebbb8b84b34924584ef45f,annotator_isl_01,sess_p19_annotator_isl_01,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_000_b,1782bea75c7d-1.mp4,0c2d1adcfb4b26de11cced85d85984fd3d3dbc64bbebbb8b84b34924584ef45f,annotator_isl_02,sess_p19_annotator_isl_02,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,True,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_001_a,1782bea75c7d-10.mp4,0f724a2a6ef85b3cdaf1ef127266a4cbf96a96fbdbde0881ada75073472a2f35,annotator_isl_02,sess_p19_annotator_isl_02,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_001_b,1782bea75c7d-10.mp4,0f724a2a6ef85b3cdaf1ef127266a4cbf96a96fbdbde0881ada75073472a2f35,annotator_isl_01,sess_p19_annotator_isl_01,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,True,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_002_a,1782bea75c7d-11.mp4,6caceb136acd93afffcdab4d17c171fce5ba8968130654ff8158213d831f3d43,annotator_isl_01,sess_p19_annotator_isl_01,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_002_b,1782bea75c7d-11.mp4,6caceb136acd93afffcdab4d17c171fce5ba8968130654ff8158213d831f3d43,annotator_isl_02,sess_p19_annotator_isl_02,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,True,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_003_a,1782bea75c7d-12.mp4,cc028595945f22185e28d3721b794dd7984c9271d6887a531f33155767b2e454,annotator_isl_02,sess_p19_annotator_isl_02,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_003_b,1782bea75c7d-12.mp4,cc028595945f22185e28d3721b794dd7984c9271d6887a531f33155767b2e454,annotator_isl_01,sess_p19_annotator_isl_01,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,True,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_004_a,1782bea75c7d-14.mp4,baa8ef03b9c12fae784c12ef8b158bd698722d274b675fc1a9283e46ec7e981a,annotator_isl_01,sess_p19_annotator_isl_01,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
asgn_42_005_a,1782bea75c7d-15.mp4,eac403dc4f9b36945724c1b936b7303813986bf6a1488439e98ce8e0efab0277,annotator_isl_02,sess_p19_annotator_isl_02,2026-09-19T08:49:37.659174+00:00,UNANNOTATED,False,1.0.0,reviewer_lead_01,UNREVIEWED
