sample_id,dataset,class_id,class_name,split,session_id,true_signer_id,feature_path,num_frames,file_size_bytes
iso_hello_001,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_001.npz,35,142773
iso_hello_002,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_002.npz,36,146841
iso_hello_003,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_003.npz,37,150910
iso_hello_004,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_004.npz,38,155008
iso_hello_005,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_005.npz,39,158925
iso_hello_006,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_006.npz,40,162997
iso_hello_007,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_hello_007.npz,41,167015
iso_hello_008,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_hello_008.npz,42,171063
iso_hello_009,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_009.npz,43,175198
iso_hello_010,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_010.npz,44,179175
iso_hello_011,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_011.npz,45,183153
iso_hello_012,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_012.npz,46,187176
iso_hello_013,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_013.npz,47,191197
iso_hello_014,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_014.npz,48,195354
iso_hello_015,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_hello_015.npz,49,199318
iso_hello_016,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_hello_016.npz,50,203386
iso_hello_017,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_01,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_017.npz,51,207315
iso_hello_018,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_02,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_018.npz,52,211426
iso_hello_019,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_03,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_019.npz,53,215542
iso_hello_020,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_04,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_020.npz,54,219501
iso_hello_021,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_05,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_021.npz,35,142828
iso_hello_022,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,train,session_06,,g:\SingLang\SIGNOVA\data\features\isolated_signs\train\iso_hello_022.npz,36,146830
iso_hello_023,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,val,session_07,,g:\SingLang\SIGNOVA\data\features\isolated_signs\val\iso_hello_023.npz,37,150834
iso_hello_024,SIGNOVA_ISOLATED_BENCHMARK,0,HELLO,test,session_08,,g:\SingLang\SIGNOVA\data\features\isolated_signs\test\iso_hello_024.npz,38,154989
